measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementMethod,measurementRemarks
P04Q1_20181121_V04,P04Q1_20181121,maximum height,41.17,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q1_20190604_V04,P04Q1_20190604,maximum height,10.79,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q1_20191218_V04,P04Q1_20191218,maximum height,23.86,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q1_20200519_V04,P04Q1_20200519,maximum height,19.51,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q1_20201117_V04,P04Q1_20201117,maximum height,19.81,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q1_20210519_V04,P04Q1_20210519,maximum height,28.58,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20181121_V04,P04Q2_20181121,maximum height,67.36,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20190604_V04,P04Q2_20190604,maximum height,24.73,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20191218_V04,P04Q2_20191218,maximum height,89.94,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20200519_V04,P04Q2_20200519,maximum height,39.97,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20201117_V04,P04Q2_20201117,maximum height,38.18,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q2_20210519_V04,P04Q2_20210519,maximum height,32.21,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20181121_V04,P04Q3_20181121,maximum height,34.61,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20190604_V04,P04Q3_20190604,maximum height,21.86,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20191218_V04,P04Q3_20191218,maximum height,11.84,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20200519_V04,P04Q3_20200519,maximum height,13.54,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20201117_V04,P04Q3_20201117,maximum height,16.54,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q3_20210519_V04,P04Q3_20210519,maximum height,14.11,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20181121_V04,P04Q4_20181121,maximum height,119.03,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20190604_V04,P04Q4_20190604,maximum height,40.61,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20191218_V04,P04Q4_20191218,maximum height,61.11,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20200519_V04,P04Q4_20200519,maximum height,101.8,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20201117_V04,P04Q4_20201117,maximum height,92.7,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q4_20210519_V04,P04Q4_20210519,maximum height,100.77,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20181121_V04,P04Q5_20181121,maximum height,107.99,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20190604_V04,P04Q5_20190604,maximum height,32.59,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20191218_V04,P04Q5_20191218,maximum height,42.7,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20200519_V04,P04Q5_20200519,maximum height,55.28,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20201117_V04,P04Q5_20201117,maximum height,48.01,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q5_20210519_V04,P04Q5_20210519,maximum height,63.04,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20181121_V04,P04Q6_20181121,maximum height,42.52,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20190604_V04,P04Q6_20190604,maximum height,32.95,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20191218_V04,P04Q6_20191218,maximum height,20.31,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20200519_V04,P04Q6_20200519,maximum height,18.54,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20201117_V04,P04Q6_20201117,maximum height,23.98,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q6_20210519_V04,P04Q6_20210519,maximum height,26.47,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20181121_V04,P04Q7_20181121,maximum height,64.81,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20190604_V04,P04Q7_20190604,maximum height,21.35,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20191218_V04,P04Q7_20191218,maximum height,13.73,centimeters,20191218,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20200519_V04,P04Q7_20200519,maximum height,12.55,centimeters,20200519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20201117_V04,P04Q7_20201117,maximum height,14.99,centimeters,20201117,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q7_20210519_V04,P04Q7_20210519,maximum height,19.85,centimeters,20210519,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20181121_V04,P04Q8_20181121,maximum height,69.08,centimeters,20181121,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
P04Q8_20190604_V04,P04Q8_20190604,maximum height,22.81,centimeters,20190604,Plot: Field measurement of species height; Transect: Line-Intercept,https://vocabs.lter-europe.net/envthes/en/page/21555
