measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementMethod,measurementRemarks
P04R1_20181211_S03,P04R1_20181211,soil moisture,7.240718915733401,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04R1_20181211_S04,P04R1_20181211,ammonium,0.592,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04R1_20181211_S05,P04R1_20181211,nitrate content,0.469,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04R1_20181211_S06,P04R1_20181211,iron,1.222,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04R1_20181211_S07,P04R1_20181211,potassium,0.219,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04R1_20181211_S08,P04R1_20181211,magnesium,0.662,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04R1_20181211_S09,P04R1_20181211,sodium,0.018,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P04R1_20181211_S10,P04R1_20181211,nitrogen,0.125,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04R1_20181211_S11,P04R1_20181211,carbon,8.99,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04R1_20181211_S12,P04R1_20181211,carbon to nitrogen ratio,71.92,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04R1_20181211_S13,P04R1_20181211,cation exchange capacity,13,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04R1_20181211_S15,P04R1_20181211,oxidizable organic matter,5.64,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04R1_20181211_S16,P04R1_20181211,soil pH value,8.01,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R1_20181211_S18,P04R1_20181211,EEZ soil pH value,8.01,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R1_20181211_S17,P04R1_20181211,pH value,7.65,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P04R2_20181211_S03,P04R2_20181211,soil moisture,9.502017221653292,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04R2_20181211_S04,P04R2_20181211,ammonium,0.943,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04R2_20181211_S05,P04R2_20181211,nitrate content,0.666,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04R2_20181211_S06,P04R2_20181211,iron,1.167,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04R2_20181211_S07,P04R2_20181211,potassium,0.267,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04R2_20181211_S08,P04R2_20181211,magnesium,0.685,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04R2_20181211_S09,P04R2_20181211,sodium,0.027,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P04R2_20181211_S10,P04R2_20181211,nitrogen,0.26954,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04R2_20181211_S11,P04R2_20181211,carbon,11.35,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04R2_20181211_S12,P04R2_20181211,carbon to nitrogen ratio,42.108777917934255,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04R2_20181211_S13,P04R2_20181211,cation exchange capacity,13,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04R2_20181211_S15,P04R2_20181211,oxidizable organic matter,7.31,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04R2_20181211_S16,P04R2_20181211,soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R2_20181211_S18,P04R2_20181211,EEZ soil pH value,7.93,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R2_20181211_S17,P04R2_20181211,pH value,7.48,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P04R3_20181211_S03,P04R3_20181211,soil moisture,9.849110427145325,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04R3_20181211_S04,P04R3_20181211,ammonium,0.411,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04R3_20181211_S05,P04R3_20181211,nitrate content,0.698,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04R3_20181211_S06,P04R3_20181211,iron,1.328,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04R3_20181211_S07,P04R3_20181211,potassium,0.26,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04R3_20181211_S08,P04R3_20181211,magnesium,0.729,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04R3_20181211_S09,P04R3_20181211,sodium,0.022,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P04R3_20181211_S10,P04R3_20181211,nitrogen,0.144485,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04R3_20181211_S11,P04R3_20181211,carbon,10.72,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04R3_20181211_S12,P04R3_20181211,carbon to nitrogen ratio,74.19455306779251,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04R3_20181211_S13,P04R3_20181211,cation exchange capacity,17,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04R3_20181211_S15,P04R3_20181211,oxidizable organic matter,4.25,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04R3_20181211_S16,P04R3_20181211,soil pH value,7.98,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R3_20181211_S18,P04R3_20181211,EEZ soil pH value,7.98,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R3_20181211_S17,P04R3_20181211,pH value,7.54,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P04R4_20181211_S03,P04R4_20181211,soil moisture,10.880755941047637,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04R4_20181211_S04,P04R4_20181211,ammonium,0.64,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04R4_20181211_S05,P04R4_20181211,nitrate content,1.008,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04R4_20181211_S06,P04R4_20181211,iron,1.247,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04R4_20181211_S07,P04R4_20181211,potassium,0.232,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04R4_20181211_S08,P04R4_20181211,magnesium,0.633,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04R4_20181211_S09,P04R4_20181211,sodium,0.02,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
P04R4_20181211_S10,P04R4_20181211,nitrogen,0.204915,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
P04R4_20181211_S11,P04R4_20181211,carbon,9.935,percentage,20181211,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
P04R4_20181211_S12,P04R4_20181211,carbon to nitrogen ratio,48.48351755605983,ratio,20181211,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
P04R4_20181211_S13,P04R4_20181211,cation exchange capacity,16,cmol(+)kg-1,20181211,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
P04R4_20181211_S15,P04R4_20181211,oxidizable organic matter,3.43,percentage,20181211,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
P04R4_20181211_S16,P04R4_20181211,soil pH value,7.99,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R4_20181211_S18,P04R4_20181211,EEZ soil pH value,7.99,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
P04R4_20181211_S17,P04R4_20181211,pH value,7.53,pH units,20181211,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
P04E1_20181211_S03,P04E1_20181211,soil moisture,9.486032004339751,percentage,20181211,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
P04E1_20181211_S04,P04E1_20181211,ammonium,0.522,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
P04E1_20181211_S05,P04E1_20181211,nitrate content,0.877,percentage,20181211,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
P04E1_20181211_S06,P04E1_20181211,iron,1.256,?,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
P04E1_20181211_S07,P04E1_20181211,potassium,0.232,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
P04E1_20181211_S08,P04E1_20181211,magnesium,0.646,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
P04E1_20181211_S09,P04E1_20181211,sodium,0.02,percentage,20181211,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
